Date,Bullish,Neutral,Bearish
2/9/95,-0.105263158,0.162162162,-0.08
2/16/95,0.264705882,-0.139534884,-0.130434783
2/23/95,0.069767442,0,-0.15
3/2/95,0.152173913,-0.297297297,0.235294118
3/9/95,-0.094339623,0.307692308,-0.142857143
3/16/95,-0.1875,0.205882353,0.111111111
3/23/95,0.205128205,-0.268292683,0.15
3/30/95,0.106382979,-0.233333333,0.086956522
4/6/95,-0.192307692,0.086956522,0.32
4/13/95,-0.047619048,-0.08,0.121212121
4/20/95,-0.075,0.173913043,-0.027027027
4/27/95,0.405405405,0.074074074,-0.472222222
5/4/95,-0.192307692,-0.068965517,0.631578947
5/11/95,0.047619048,-0.037037037,-0.032258065
5/18/95,-0.045454545,-0.115384615,0.166666667
5/25/95,0.047619048,0.130434783,-0.142857143
6/1/95,-0.113636364,0.307692308,-0.1
6/8/95,0.128205128,-0.264705882,0.148148148
6/15/95,-0.181818182,0.24,0.064516129
6/22/95,0.333333333,-0.322580645,-0.060606061
6/29/95,-0.270833333,0.333333333,0.193548387
7/6/95,0,0.214285714,-0.162162162
7/13/95,0.257142857,-0.470588235,0.225806452
7/20/95,-0.022727273,0.666666667,-0.289473684
7/27/95,-0.046511628,-0.133333333,0.222222222
8/3/95,-0.073170732,0.307692308,-0.151515152
8/10/95,0.052631579,-0.117647059,0.071428571
8/17/95,-0.1,0.433333333,-0.3
8/24/95,-0.027777778,-0.348837209,0.761904762
8/31/95,0.085714286,0.5,-0.459459459
9/7/95,-0.026315789,-0.142857143,0.35
9/14/95,0.243243243,-0.111111111,-0.185185185
9/21/95,0,-0.21875,0.318181818
9/28/95,-0.086956522,0.08,0.068965517
10/5/95,-0.071428571,0.37037037,-0.225806452
10/12/95,0.051282051,-0.189189189,0.208333333
10/19/95,0.146341463,0.066666667,-0.275862069
10/26/95,-0.021276596,0.03125,0
11/2/95,0.02173913,0.03030303,-0.095238095
11/9/95,0.042553191,0.029411765,-0.157894737
11/16/95,-0.06122449,-0.114285714,0.4375
11/22/95,0.043478261,-0.419354839,0.47826087
11/30/95,0.0625,0.666666667,-0.441176471
12/7/95,-0.058823529,-0.066666667,0.263157895
12/14/95,0.0625,-0.178571429,0.083333333
12/21/95,-0.058823529,0.217391304,-0.076923077
12/28/95,-0.041666667,0.214285714,-0.166666667
1/4/96,0.195652174,-0.470588235,0.35
1/11/96,,,
1/18/96,,,
1/25/96,-0.142857143,0.379310345,-0.172413793
2/1/96,0.5,-0.225,-0.375
2/8/96,-0.018518519,0,0.066666667
2/15/96,0.018867925,-0.322580645,0.5625
2/22/96,-0.092592593,0.047619048,0.16
2/29/96,-0.081632653,0.272727273,-0.068965517
3/7/96,-0.022222222,0,0.037037037
3/14/96,-0.181818182,0.25,0.035714286
3/21/96,0.305555556,-0.114285714,-0.24137931
3/28/96,-0.042553191,0,0.090909091
4/4/96,-0.111111111,0.387096774,-0.291666667
4/11/96,0,-0.023255814,0.058823529
4/18/96,-0.1,-0.095238095,0.444444444
4/25/96,-0.222222222,0.052631579,0.230769231
5/2/96,0.714285714,-0.225,-0.34375
5/9/96,-0.041666667,0.225806452,-0.238095238
5/16/96,-0.195652174,0.052631579,0.4375
5/23/96,0.378378378,-0.125,-0.391304348
5/30/96,0.196078431,-0.171428571,-0.285714286
6/6/96,-0.229508197,-0.034482759,1.5
6/13/96,0.042553191,0,-0.08
6/20/96,-0.142857143,0.142857143,0.130434783
6/27/96,0,0.28125,-0.346153846
7/3/96,-0.238095238,0.073170732,0.411764706
7/11/96,0.25,-0.204545455,0.041666667
7/18/96,-0.275,0.285714286,0.04
7/25/96,0.034482759,-0.288888889,0.461538462
8/1/96,-0.033333333,0.1875,-0.131578947
8/8/96,-0.068965517,0.105263158,-0.060606061
8/15/96,0.592592593,-0.119047619,-0.35483871
8/22/96,-0.348837209,0.243243243,0.3
8/29/96,0,-0.065217391,0.115384615
9/5/96,0.035714286,-0.186046512,0.24137931
9/12/96,-0.103448276,0.314285714,-0.222222222
